gene_symbol	SRR2056323.3most_areads	SRR2056323.3most_aRPKM	SRR2056323.3most_creads	SRR2056323.3most_cRPKM	SRR2056323.3most_3UTR_RE	SRR2056324.3most_areads	SRR2056324.3most_aRPKM	SRR2056324.3most_creads	SRR2056324.3most_cRPKM	SRR2056324.3most_3UTR_RE	SRR2056325.3most_areads	SRR2056325.3most_aRPKM	SRR2056325.3most_creads	SRR2056325.3most_cRPKM	SRR2056325.3most_3UTR_RE	SRR2056326.3most_areads	SRR2056326.3most_aRPKM	SRR2056326.3most_creads	SRR2056326.3most_cRPKM	SRR2056326.3most_3UTR_RE
FOXN1	0	0	1	0.0367340524216802	-Inf	0	0	1	0.0382024596682844	-Inf	0	0	6	0.14761708280088	-Inf	0	0	8	0.19073777512756	-Inf
FOXN4	0	0	632	25.2934084799875	-Inf	0	0	579	24.098573064978	-Inf	0	0	1542	41.3324529446876	-Inf	0	0	1416	36.7816677365114	-Inf
FOXO3	5016	66.8988439736041	1320	4.45633482897771	3.90805174151519	5142	71.3207073967493	1366	4.79597672667463	3.89442444950253	6330	56.5433222317471	1429	3.23111666081767	4.12925190617885	7287	63.0794268919288	1610	3.52782995245014	4.16031662531401
FOXO4	0	0	712	26.3712469418283	-Inf	0	0	634	24.4209421164807	-Inf	0	0	1191	29.544657527577	-Inf	0	0	1211	29.1120440077393	-Inf
FOXP1	1273	15.0153709007954	82	43.5724054279419	-1.53697464793835	1259	15.4438606838204	84	46.41939267654	-1.58769420228137	1625	12.8374141650051	85	30.250540309616	-1.23660628055615	1661	12.716136384487	120	41.3863202170345	-1.70249358486777
FOXP2	1163	16.3565010571098	51	27.0999106929882	-0.728423933751994	1253	18.3266989910719	53	29.2884263316264	-0.676383728495056	1168	11.0019599804069	56	19.9297677333941	-0.857164336431304	1371	12.5148609948746	58	20.0033881049	-0.676602112602063
FOXP3	82	5.12915262030551	2	1.06274159580346	2.27092964987033	76	4.9438791511977	5	2.76305908788928	0.839377063808472	124	5.19481375068738	13	4.62655322382362	0.167134237498032	92	3.73505912448217	7	2.41420201266035	0.629584679251658
FOXP4	450	9.95498877355055	994	52.0961326997522	-2.38768468546576	318	7.31607022133784	637	34.7201040112369	-2.24663044209246	787	11.6605630065974	1529	53.6714233625194	-2.20251670097383	655	9.40475410125693	1258	42.7934820486326	-2.18592894557499
FOXR1	0	0	0	0	NA	0	0	0	0	NA	0	0	1	0.355888709524894	-Inf	0	0	0	0	NA
FOXRED1	323	59.3661285614662	384	135.583454117241	-1.19146919146366	254	48.550354685419	288	105.752450984899	-1.12313736010658	523	64.3805113124434	621	146.853261513887	-1.18967936740997	502	59.8849659715777	591	135.438094302358	-1.17736781166319
