,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,transcript_id,gene_id,gene_name,transcript_name,CP209,GZ209,CP334,GZ334,CP336,GZ336
854,28.7705565269338,2.56339669066556,0.615745394641185,4.16307894947283,3.13984741938902e-05,0.000426673645222595,ENST00000375784.8,ENSG00000213719.8,CLIC1,CLIC1-208,4,16,15,101,9,46
855,25.8183881579864,-2.27646616397191,0.547149224584942,-4.16059470009996,3.17419961659222e-05,0.000430837269597108,ENST00000406432.5,ENSG00000059915.17,PSD,PSD-202,58,3,37,11,48,13
856,282.99968566743,-1.24942322587026,0.300880909657422,-4.15255067957895,3.287899088533e-05,0.000445228342151989,ENST00000389645.7,ENSG00000135387.21,CAPRIN1,CAPRIN1-202,495,100,526,190,327,194
857,20.9019428675249,2.74652082537469,0.661399509803472,4.15258975046836,3.28733759958484e-05,0.000445228342151989,ENST00000684666.1,ENSG00000100336.18,APOL4,APOL4-213,8,26,5,21,5,50
858,13.5764938359847,3.50375205044987,0.843990250512255,4.15141294383826,3.30428953447782e-05,0.000446926340881294,ENST00000680655.1,ENSG00000079215.15,SLC1A3,SLC1A3-237,1,22,2,19,4,22
859,183.9772302847,-1.81309506436218,0.436937201030925,-4.14955526808954,3.33121852436975e-05,0.000450044132425041,ENST00000379893.5,ENSG00000133083.15,DCLK1,DCLK1-204,507,68,255,78,213,70
860,59.4173063450296,1.88156245498423,0.453590451737901,4.14815269539991,3.35168828991497e-05,0.00045228305354027,ENST00000490537.6,ENSG00000120699.14,EXOSC8,EXOSC8-210,32,79,27,95,25,71
861,28.8652913735984,-2.80641035622902,0.676766184596654,-4.14679459480029,3.37162282471409e-05,0.000453661983458536,ENST00000262450.8,ENSG00000116254.18,CHD5,CHD5-201,114,6,37,7,24,7
862,23.3963603395336,-3.10555789496144,0.748930324848465,-4.14665796259459,3.37363456893336e-05,0.000453661983458536,ENST00000373467.4,ENSG00000121905.10,HPCA,HPCA-201,35,1,23,5,75,9
863,15.7509722353926,-3.32608376621343,0.802096083204438,-4.14673981815927,3.37242920772266e-05,0.000453661983458536,ENST00000481950.2,ENSG00000133069.17,TMCC2,TMCC2-206,49,3,17,4,29,1
864,18.9052139385953,2.52354157570404,0.608696168247246,4.14581478797645,3.38607454730386e-05,0.000454807813905802,ENST00000229854.12,ENSG00000112118.20,MCM3,MCM3-201,6,19,10,35,3,39
865,9.7766316262707,3.94856303951777,0.953108779969133,4.14282516592246,3.43053468815567e-05,0.000460246879260653,ENST00000665976.1,ENSG00000189238.6,LINC00943,LINC00943-239,1,10,2,27,1,18
866,111.957413497975,-1.39797868381351,0.33769924157977,-4.13971520123562,3.47737258446462e-05,0.00046599201896896,ENST00000522605.2,ENSG00000253910.3,PCDHGB2,PCDHGB2-201,217,35,206,89,128,59
867,10.7539210552623,5.18642127910708,1.25404520623065,4.13575304409972,3.53792512522207e-05,0.000473559643347198,ENST00000393964.1,ENSG00000164611.13,PTTG1,PTTG1-202,2,5,0,41,0,25
868,483.367021980979,-1.62234115160632,0.392500554514976,-4.13334741300198,3.57517682132603e-05,0.00047744449955683,ENST00000400921.6,ENSG00000067606.17,PRKCZ,PRKCZ-202,814,79,660,439,923,255
869,181.551566185676,1.24268599607248,0.300636839680818,4.13351203861718,3.57261573350215e-05,0.00047744449955683,ENST00000263246.8,ENSG00000100266.19,PACSIN2,PACSIN2-201,139,120,128,356,97,303
870,144.932331811559,1.82596922839986,0.441885309193895,4.13222433606327,3.5926951485032e-05,0.0004792324965331,ENST00000371335.4,ENSG00000005893.16,LAMP2,LAMP2-202,109,170,79,226,32,216
871,12.3051988944559,3.2658598105956,0.790423363052266,4.13178552565083,3.59956205728138e-05,0.000479597217850177,ENST00000374382.4,ENSG00000130055.14,GDPD2,GDPD2-201,5,9,2,33,1,28
872,8.49412413443489,5.72377610838756,1.3858825151315,4.13005867805789,3.62670657087072e-05,0.000482659744896269,ENST00000638281.1,ENSG00000131095.14,GFAP,GFAP-225,1,5,0,24,0,25
873,19.0568723716712,-2.84059480203269,0.687929819866714,-4.12919271704641,3.64039177173611e-05,0.000483472759737671,ENST00000278829.7,ENSG00000221968.9,FADS3,FADS3-201,35,2,22,6,51,6
874,48.8463852939187,-1.77958684622171,0.430981924270512,-4.12914497338576,3.64114771228543e-05,0.000483472759737671,ENST00000316509.11,ENSG00000220205.9,VAMP2,VAMP2-201,108,16,85,30,62,17
875,21.8696355960273,2.20548160948629,0.534285200211299,4.12791072748051,3.66074172812662e-05,0.000485518945770393,ENST00000354204.10,ENSG00000114982.19,KANSL3,KANSL3-201,9,23,10,45,7,35
876,13.1921647526046,3.14494724524491,0.762157228453653,4.12637593377644,3.68524669012213e-05,0.000487654365323459,ENST00000460012.7,ENSG00000114805.18,PLCH1,PLCH1-204,4,18,4,28,1,19
877,73.5749195412549,-1.63272082462689,0.395654613231897,-4.12663158730803,3.68115407004879e-05,0.000487654365323459,ENST00000361131.5,ENSG00000198729.5,PPP1R14C,PPP1R14C-201,114,26,120,37,131,37
878,455.611132039556,2.19330682052621,0.531665264270561,4.12535286377117,3.70166774275217e-05,0.000489269409506138,ENST00000437945.6,ENSG00000106484.16,MEST,MEST-211,278,762,109,491,161,522
879,595.082463264139,2.07897484870148,0.504011257647897,4.12485796131534,3.7096362115109e-05,0.000489764826332013,ENST00000250535.5,ENSG00000129596.5,CDO1,CDO1-201,143,214,288,1620,310,1392
880,145.357705058181,-1.76416784095176,0.427895030697218,-4.12289864193374,3.74134353591585e-05,0.000493132428019067,ENST00000361874.8,ENSG00000204843.13,DCTN1,DCTN1-201,358,56,186,63,209,56
881,26.9602831094443,2.0822404889076,0.505060176873457,4.12275721637287,3.74364212912363e-05,0.000493132428019067,ENST00000372314.3,ENSG00000126878.13,AIF1L,AIF1L-208,13,22,14,73,8,39
882,11.9659796676087,4.26821113783369,1.03544992647651,4.12208357806139,3.75460920307772e-05,0.000493613100833565,ENST00000635193.1,ENSG00000060718.22,COL11A1,COL11A1-210,4,19,0,29,0,13
883,10.8683533180314,-4.91468614794424,1.19230311316251,-4.1220106646441,3.75579808734199e-05,0.000493613100833565,ENST00000683387.1,ENSG00000137727.13,ARHGAP20,ARHGAP20-207,39,1,15,1,17,0
884,241.741865682293,-1.4188795236616,0.344321336706417,-4.12080046282871,3.77558321075936e-05,0.000495652071955456,ENST00000260746.6,ENSG00000138175.9,ARL3,ARL3-201,507,54,359,230,322,132
885,16.702303926158,-3.80867402727776,0.924441905846222,-4.11997119904615,3.78919760851777e-05,0.000496604702180125,ENST00000395810.6,ENSG00000198915.12,RASGEF1A,RASGEF1A-204,62,3,13,3,29,0
886,11.5529739102423,-4.97049110073794,1.20647748717027,-4.11983742224313,3.79139824327092e-05,0.000496604702180125,ENST00000359142.7,ENSG00000070961.16,ATP2B1,ATP2B1-202,47,1,18,0,12,1
887,5966.12560063574,-1.48442140839658,0.360872511196178,-4.11342333467349,3.89834545509825e-05,0.000509462826648819,ENST00000307630.5,ENSG00000170027.7,YWHAG,YWHAG-201,13162,2284,11178,3920,5807,2508
888,10.6380691978931,4.09462307891764,0.995367382165695,4.1136801871171,3.89400826540179e-05,0.000509462826648819,ENST00000313285.12,ENSG00000125733.18,TRIP10,TRIP10-202,0,8,3,40,1,17
889,26.4563297012411,-3.44838205246825,0.838408170500798,-4.11301102947084,3.90531719632476e-05,0.000509799843232271,ENST00000230671.7,ENSG00000011083.9,SLC6A7,SLC6A7-201,38,1,98,14,31,0
890,59.7656409893203,-1.766616166754,0.429636612600783,-4.11188459023517,3.92442473587159e-05,0.000511718528761683,ENST00000618960.4,ENSG00000168646.14,AXIN2,AXIN2-208,155,13,92,43,69,27
891,79.1557236506886,1.50881769190662,0.367170285152707,4.10931317952132,3.9683760076247e-05,0.00051686872691902,ENST00000523965.5,ENSG00000120896.14,SORBS3,SORBS3-221,55,55,40,189,43,118
892,74.9067452338282,2.22860196722721,0.542363968005557,4.10905240520029,3.97285923252254e-05,0.000516872549253633,ENST00000372106.6,ENSG00000101888.12,NXT2,NXT2-203,35,122,30,67,23,106
893,128.315915403674,-1.89863896326079,0.462136108577993,-4.10839778156041,3.98413469210007e-05,0.000517759049292512,ENST00000424424.2,ENSG00000171867.18,PRNP,PRNP-202,338,49,214,44,138,47
894,14.2886917291957,2.81595673814444,0.685873868013095,4.1056480928512,4.03182881193514e-05,0.000523371066694712,ENST00000375840.9,ENSG00000266173.7,STRADA,STRADA-203,5,10,3,35,4,33
895,15.4460500924715,-4.12122856019338,1.0039480019496,-4.10502192562786,4.04276534441378e-05,0.000524204377898568,ENST00000370591.6,ENSG00000095713.14,CRTAC1,CRTAC1-202,25,1,9,3,57,1
896,107.471214233714,-1.64228195311845,0.400102049561675,-4.10465768650178,4.04914002889027e-05,0.000524444978072228,ENST00000430350.2,ENSG00000171867.18,PRNP,PRNP-203,210,43,215,50,125,47
897,10.0072608457296,-5.66149179275333,1.37951139547628,-4.10398334607354,4.06096709630336e-05,0.000525390447632113,ENST00000638023.1,ENSG00000122641.11,INHBA,INHBA-205,26,0,10,0,28,1
898,9.19107120187147,-5.54759419678657,1.35282071348921,-4.10076083362011,4.11793989283873e-05,0.000531674802384827,ENST00000263710.8,ENSG00000074054.20,CLASP1,CLASP1-201,28,0,22,0,12,1
899,152.305771579136,-1.40463824017875,0.342534717502215,-4.10071787882252,4.11870441485532e-05,0.000531674802384827,ENST00000392017.9,ENSG00000085978.22,ATG16L1,ATG16L1-203,275,39,233,145,231,75
900,12.2170544180713,-3.25889731144638,0.795588490986685,-4.09620972194396,4.19969501689859e-05,0.00054092631155503,ENST00000343846.7,ENSG00000143502.16,SUSD4,SUSD4-202,22,1,29,4,23,2
901,204.777662912899,-1.80172170958236,0.439842554211807,-4.09628784738899,4.19827868892405e-05,0.00054092631155503,ENST00000334456.10,ENSG00000186642.16,PDE2A,PDE2A-201,617,47,196,119,268,107
902,179.250054593292,1.3513043979387,0.33030363887153,4.09109752031608,4.29336534268746e-05,0.000552378102016496,ENST00000373841.5,ENSG00000147140.17,NONO,NONO-202,117,116,147,363,79,313
903,10.2266042374423,-5.71540672461969,1.39780406797233,-4.08884682451278,4.33522994518434e-05,0.000557146661283104,ENST00000370398.6,ENSG00000185760.18,KCNQ5,KCNQ5-204,41,0,23,1,7,0
904,11.9648167989083,3.94747878487239,0.96626460349678,4.0852979303878,4.4020296114895e-05,0.000565105681873181,ENST00000347343.6,ENSG00000087586.18,AURKA,AURKA-202,0,11,5,24,0,32
905,39.0724588681237,-1.94830580953748,0.476936841281776,-4.08503944526779,4.40693294559048e-05,0.000565110020260525,ENST00000420658.6,ENSG00000196526.11,AFAP1,AFAP1-204,94,7,81,22,39,20
906,21.3656202058353,-2.46050746717416,0.60397043638961,-4.07388726157273,4.62348693052448e-05,0.000592224788396651,ENST00000259371.7,ENSG00000136848.18,DAB2IP,DAB2IP-201,56,1,37,11,31,9
907,61.1370327353007,2.04748719041057,0.503098794790308,4.06975172990419,4.70632635668748e-05,0.000602171084557423,ENST00000326080.10,ENSG00000170271.11,FAXDC2,FAXDC2-201,34,46,10,146,34,110
